Designator,Mid X,Mid Y,Layer,Rotation
C1, 7.62,13.34,Top,0.0
C2,16.51,26.04,Top,0.0
C3, 5.71,27.94,Top,180.0
C4,16.51,27.30,Top,0.0
C5,19.05,33.66,Top,0.0
C6, 5.08,37.47,Top,90.0
C7, 6.99,37.47,Top,90.0
C8,18.41,36.20,Top,0.0
C9,19.69,13.34,Top,270.0
C10,10.79,41.91,Top,180.0
C12,17.14,39.37,Top,90.0
D1, 4.45, 8.89,Top,270.0
D2, 4.45,14.61,Top,90.0
J3,18.41,-0.64,Top,180.0
LED1, 4.45,52.07,Top,0.0
LED2, 7.62,52.07,Top,0.0
Q1,10.79,39.37,Top,270.0
Q2,14.61,39.37,Top,180.0
R1,12.70,24.13,Top,270.0
R2,18.41,34.93,Top,0.0
R4,18.41,44.45,Top,0.0
R5,10.79,52.07,Top,90.0
R6,14.61,44.45,Top,0.0
R7,10.79,48.26,Top,270.0
R8, 4.45,48.26,Top,270.0
R9, 7.62,48.26,Top,90.0
S1,17.78,19.05,Top,90.0
U1,11.43,31.75,Top,270.0
U2,10.16,17.78,Top,270.0
USB1, 5.71, 4.45,Top,0.0
